"","Start.station","End.station","count"
"3400","Kellogg Blvd & Wabasha Street","7th Place & Jackson Street",31
"3401","Kellogg Blvd W & Smith Ave","N Robert Street & E 10th Street",31
"3402","Lake Street & Humboldt","MCAD",31
"3403","Lake Street & Knox Ave S","6th Ave SE & University Ave",31
"3404","Lake Street & Knox Ave S","Minnehaha Park",31
"3405","Logan Park","5th Street NE & 1st Ave NE",31
"3406","Loring Park","Nicollet Island",31
"3407","Mariucci Arena","Weisman Art Museum",31
"3408","Midtown Greenway & 5th Ave S","Lake Harriet Bandshell",31
"3409","Mill City Quarter","3rd Street N & 8th Ave N",31
"3410","Minneapolis Farmers Market","IDS Center",31
"3411","Minneapolis Farmers Market","Minneapolis Farmers Market",31
"3412","Mpls Convention Center","100 Main Street SE",31
"3413","Mpls Convention Center","11th Street & Hennepin",31
"3414","Mpls Convention Center","Chicago Ave & S Washington Ave",31
"3415","Plymouth Ave N &  N Oliver Ave","Plymouth Ave N &  N Oliver Ave",31
"3416","Rice Street & University Ave W","Lake Como Pavilion",31
"3417","Rice Street & University Ave W","Union Depot",31
"3418","S 5th Street & Nicollet Mall","Lyndale Ave S & W 29th Street",31
"3419","S 5th Street & Nicollet Mall","N 4th Ave & W River Parkway",31
"3420","Schmidt Brewery","7th Street W & Grand Ave",31
"3421","SE 3rd Ave & University Ave SE","15th Ave SE & 4th Street SE",31
"3422","SE 3rd Ave & University Ave SE","S 5th Street & Nicollet Mall",31
"3423","Social Sciences","Hennepin & Central Avenue NE",31
"3424","South 2nd Street & 3rd Ave S","2nd Street SE & 5th Ave SE",31
"3425","Target Field Station","Lake Calhoun Center",31
"3426","University & Bank Street SE","15th Ave SE & Como Ave SE",31
"3427","University & Bank Street SE","Boom Island Park",31
"3428","University Ave NE & 12th Ave NE","2nd Street N & 8th Ave N",31
"3429","University Ave NE & 12th Ave NE","Central Ave NE & 22nd Ave NE",31
"3430","Upper Landing","Kellogg Blvd & Wabasha Street",31
"3431","Walker Art Center","South 2nd Street & 3rd Ave S",31
"3432","Washington Ave N & Cedar Lake Trail","Hennepin & Laurel Ave",31
"3433","Washington Ave N & Cedar Lake Trail","Park Ave & 4th Street S",31
"3434","Washington Ave N & Cedar Lake Trail","West 15th Street & Willow",31
"3435","Weisman Art Museum","Mariucci Arena",31
"3436","West 32nd Street & Bryant Ave S","W 31st Street & Hennepin Ave S",31
"3437","West Broadway & Logan Ave N","Bryant Ave N & West Broadway",31
"3438","Willey Hall","Como Ave SE & 29th Ave SE",31
"3439","Wirth Beach","Lake Street & Humboldt",31
"3440","YWCA Downtown","6th Ave SE & University Ave",31
"3441","YWCA Downtown","Target Field Station",31
"3442","100 Main Street SE","Coffman Union",30
"3443","10th Street & Nicollet Mall","MCAD",30
"3444","10th Street & Nicollet Mall","Washington & Cedar",30
"3445","11th Ave S & S 2nd Street","Currie Park",30
"3446","11th Ave S & S 2nd Street","Minneapolis Park & Recreation Board",30
"3447","11th Street & Hennepin","11th Street & Marquette",30
"3448","11th Street & Hennepin","Dupont Ave & 22nd Street",30
"3449","11th Street & Hennepin","MCAD",30
"3450","11th Street & Hennepin","Portland Ave & Washington Ave",30
"3451","11th Street & Marquette","Lyndale Ave S & W 29th Street",30
"3452","11th Street & Marquette","Sanford Hall",30
"3453","22nd Ave NE & California Street NE","Logan Park",30
"3454","22nd Ave S & Franklin Ave","Washington & Cedar",30
"3455","23rd Ave SE & University Ave SE","7th Street SE & 10th Ave SE",30
"3456","25th Street & 33rd Ave S","11th Ave S & S 2nd Street",30
"3457","25th Street & 33rd Ave S","22nd Ave S & Franklin Ave",30
"3458","25th Street & 33rd Ave S","23rd Ave SE & 6th Street SE",30
"3459","26th Street & Hennepin","25th Street & 33rd Ave S",30
"3460","26th Street & Lyndale","Dupont Ave & 22nd Street",30
"3461","2nd Ave N & N 6th Street","YWCA Downtown",30
"3462","2nd Ave N & Washington Ave N","2nd Ave S & S 3rd Street",30
"3463","2nd Ave S & S 3rd Street","West 15th Street & Willow",30
"3464","5th Street NE & 3rd Ave NE","S 5th Street & Nicollet Mall",30
"3465","6th Ave SE & University Ave","Elliot Park",30
"3466","7th Street E & Wacouta Street","Landmark Plaza",30
"3467","9th Street N & Hawthorne Ave","Target Field Station",30
"3468","Boom Island Park","University & Bank Street SE",30
"3469","Broadway & Marshall Street NE","North 2nd Street & 4th Ave N",30
"3470","Broadway & Marshall Street NE","S 5th Street & Nicollet Mall",30
"3471","Broadway & Marshall Street NE","Target Field Station",30
"3472","Chicago Ave & S Washington Ave","Nicollet Island",30
"3473","Como Ave SE & 29th Ave SE","Washington & Cedar",30
"3474","Currie Park","Park Ave & 4th Street S",30
"3475","Elliot Ave S & E 24th Street","Chicago Ave & S Washington Ave",30
"3476","Elliot Park","4th Street S & 19th Ave",30
"3477","Franklin & 11th Ave","West 15th Street & Willow",30
"3478","Franklin & 28th Ave","Delaware Street SE & 26th Ave SE",30
"3479","Gateway Park","Oak Street Ramp",30
"3480","Hague Ave & Dale Street","Lexington Pkwy & University Ave",30
"3481","Harriet Island","Kellogg Blvd W & Smith Ave",30
"3482","Hennepin & Central Avenue NE","Chicago Ave & S Washington Ave",30
"3483","Hennepin Ave & S Washington Ave","N 4th Ave & W River Parkway",30
"3484","Hennepin County Government Center","Lake Street & Humboldt",30
"3485","Hidden Falls Park","Mississippi River Blvd & Summit Ave",30
"3486","Kellogg Blvd & Wabasha Street","Kellogg Blvd E & Jackson Street",30
"3487","Kellogg Blvd E & Jackson Street","Harriet Island",30
"3488","Lake Harriet Bandshell","Nicollet Ave & W 37th Street",30
"3489","Lake Street & Humboldt","Midtown YWCA",30
"3490","Lake Street & Humboldt","Upton Ave S & Sheridan Ave S",30
"3491","Lake Street & Humboldt","West 15th Street & Willow",30
"3492","Loring Park","Washington & Marquette",30
"3493","Malcolm Ave SE & 5th Street SE","Carleton Street & University Ave ",30
"3494","MCAD","11th Street & Marquette",30
"3495","McNamara Center","2nd Street SE & 5th Ave SE",30
"3496","McNamara Center","Mississippi River Blvd & Summit Ave",30
"3497","Midtown YWCA","27th Ave S & Minnehaha Ave",30
"3498","Mill City Quarter","4th Street & 13th Ave SE",30
"3499","Mill City Quarter","Logan Park",30
"3500","Mississippi River Blvd & Summit Ave","University of St. Thomas",30
"3501","N 4th Ave & W River Parkway","Logan Park",30
"3502","Nice Ride World Headquarters","Kowalski's Market",30
"3503","Nicollet & Franklin","Franklin & Portland",30
"3504","Nicollet & Franklin","Hennepin Ave & S Washington Ave",30
"3505","Nicollet Mall & Grant Street","Lake Street & Knox Ave S",30
"3506","North 2nd Street & 4th Ave N","Elliot Park",30
"3507","North 2nd Street & 4th Ave N","West 15th Street & Willow",30
"3508","Park Ave & 4th Street S","Mpls Convention Center",30
"3509","Portland Ave & Washington Ave","Hennepin & Central Avenue NE",30
"3510","S 5th Street & Nicollet Mall","15th Ave SE & Como Ave SE",30
"3511","S 8th Street & 2nd Ave S","Gateway Park",30
"3512","Social Sciences","25th Street & 33rd Ave S",30
"3513","Social Sciences","Riverside Ave & 23rd Ave S",30
"3514","University & Bank Street SE","2nd Street N & 8th Ave N",30
"3515","University Ave NE & 12th Ave NE","3rd Street NE & Lowry Ave NE",30
"3516","W 31st Street & Hennepin Ave S","28th Street & Nicollet Ave. S",30
"3517","W 36th Street & W Calhoun Parkway","West 36th Street & Bryant Ave S",30
"3518","W 50th Street & W Minnehaha Pkwy","Lake Street & Knox Ave S",30
"3519","Walker Art Center","2nd Ave N & Washington Ave N",30
"3520","Washington & Cedar","22nd Ave S & Franklin Ave",30
"3521","Washington & Marquette","2nd Ave N & N 6th Street",30
"3522","Washington & Marquette","9th Street & 4th Ave",30
"3523","Washington Ave S & 10th Ave S","YWCA Downtown",30
"3524","Washington Ave SE & Union Street SE","Mayo Memorial Building",30
"3525","Weisman Art Museum","E Franklin Ave & Bloomington Ave S",30
"3526","Wells Fargo Place","7th Street E & Wacouta Street",30
"3527","Wells Fargo Place","Broadway Street N & 4th Street E",30
"3528","West 32nd Street & Bryant Ave S","Lyndale Ave S & W 29th Street",30
"3529","West 36th Street & Bryant Ave S","West 34th Street  & Hennepin Ave S",30
"3530","Williamson Hall","100 Main Street SE",30
"3531","YWCA Downtown","10th Street & Nicollet Mall",30
"3532","YWCA Downtown","11th Street & Marquette",30
"3533","YWCA Downtown","Grant Street & Portland Ave",30
"3534","100 Main Street SE","Minneapolis Park & Recreation Board",29
"3535","11th Ave S & S 2nd Street","N Washington Ave & 9th Ave N",29
"3536","11th Ave S & S 2nd Street","Willey Hall",29
"3537","11th Street & Hennepin","10th Street & Nicollet Mall",29
"3538","11th Street & Hennepin","5th Street NE & 3rd Ave NE",29
"3539","11th Street & Hennepin","Chicago Ave & S Washington Ave",29
"3540","11th Street & Marquette","6th Ave SE & University Ave",29
"3541","18th Ave Trail & 2nd Street NE","Marshall Street NE & Lowry Ave",29
"3542","23rd Ave SE & 6th Street SE","6th Ave SE & University Ave",29
"3543","23rd Ave SE & University Ave SE","Curfew Street & Ellis Ave.",29
"3544","26th Street & Lyndale","2nd Ave N & N 6th Street",29
"3545","28th Street & Nicollet Ave. S","Nicollet Mall & Grant Street",29
"3546","28th Street & Nicollet Ave. S","W 31st Street & Hennepin Ave S",29
"3547","2nd Ave N & N 6th Street","Loring Park",29
"3548","2nd Ave N & Washington Ave N","Walker Art Center",29
"3549","2nd Ave N & Washington Ave N","Washington & Cedar",29
"3550","2nd Ave N & Washington Ave N","West 15th Street & Willow",29
"3551","2nd Street SE & 5th Ave SE","Coffman Union",29
"3552","38th Street Light Rail Station","Lake Nokomis",29
"3553","46th Street Light Rail Station","Cleveland Ave S & Highland Parkway",29
"3554","5th Ave N & 4th Street N","N 4th Ave & W River Parkway",29
"3555","5th Ave N & 4th Street N","University Ave NE & 12th Ave NE",29
"3556","6th Ave SE & University Ave","10th Street & Nicollet Mall",29
"3557","6th Ave SE & University Ave","2nd Street N & 8th Ave N",29
"3558","6th Ave SE & University Ave","5th Ave N & 4th Street N",29
"3559","6th Ave SE & University Ave","Delaware Street SE & 26th Ave SE",29
"3560","6th Ave SE & University Ave","Mariucci Arena",29
"3561","7th Street & 4th Ave S","Walker Art Center",29
"3562","7th Street & 4th Ave S","Washington & Marquette",29
"3563","7th Street SE & 10th Ave SE","Hennepin & Central Avenue NE",29
"3564","9th Street & 4th Ave","11th Street & Hennepin",29
"3565","9th Street & 4th Ave","Grant Street & Portland Ave",29
"3566","Cleveland Ave S & Highland Parkway","Minnehaha Park",29
"3567","Como Ave SE & 29th Ave SE","Willey Hall",29
"3568","East Lake Street & 36th Ave S","Midtown Exchange",29
"3569","Elliot Hall","Mill City Quarter",29
"3570","Franklin & Portland","IDS Center",29
"3571","Franklin & Portland","Washington & Cedar",29
"3572","Gateway Park","Marshall Street NE & Lowry Ave",29
"3573","Grant Street & Portland Ave","26th Street & Lyndale",29
"3574","Groveland Ave & Clifton Place","10th Street & Nicollet Mall",29
"3575","Hague Ave & Dale Street","Dale Street N & University Ave",29
"3576","Hamline Ave N & University Ave","Hamline Ave N & University Ave",29
"3577","Hennepin & Central Avenue NE","Washington & Marquette",29
"3578","Hennepin & Laurel Ave","Grant Street & Portland Ave",29
"3579","Hennepin Ave & S Washington Ave","18th Ave Trail & 2nd Street NE",29
"3580","Hennepin Ave & S Washington Ave","Boom Island Park",29
"3581","Hennepin County Government Center","Target Field Station",29
"3582","Hiawatha Ave & E 50th Street","Bohemian Flats",29
"3583","Lake Calhoun Center","2nd Ave N & Washington Ave N",29
"3584","Lake Street & Knox Ave S","Pleasant Ave S &  Lake Street",29
"3585","Logan Park","2nd Street N & 8th Ave N",29
"3586","Logan Park","Target Field Station",29
"3587","Lyndale Ave S & 22nd Street ","S 5th Street & Nicollet Mall",29
"3588","Marshall Street NE & Lowry Ave","100 Main Street SE",29
"3589","McNamara Center","Portland Ave & Washington Ave",29
"3590","Midtown Exchange","Walker Art Center",29
"3591","Midtown Greenway & 5th Ave S","Franklin & 28th Ave",29
"3592","Minnesota Dept. of Transportation","Kowalski's Market",29
"3593","Mississippi River Blvd & Summit Ave","Cleveland Ave S & Highland Parkway",29
"3594","Mississippi River Blvd & Summit Ave","Hidden Falls Park",29
"3595","N 4th Ave & W River Parkway","S 5th Street & Nicollet Mall",29
"3596","N 4th Ave & W River Parkway","Williamson Hall",29
"3597","Nicollet Island","2nd Ave N & N 6th Street",29
"3598","Nicollet Island","Sanford Hall",29
"3599","Nicollet Mall & Grant Street","11th Ave S & S 2nd Street",29
"3600","Park Ave & 4th Street S","Washington & Marquette",29
"3601","Pleasant Ave S &  Lake Street","Midtown Exchange",29
"3602","S 5th Street & Nicollet Mall","Elwood Ave N & Oak Park Ave N",29
"3603","S 8th Street & 2nd Ave S","YWCA Downtown",29
"3604","Sanford Hall","Portland Ave & Washington Ave",29
"3605","Sanford Hall","University & Bank Street SE",29
"3606","Sherburne Ave & Snelling Ave N","Macalester College",29
"3607","South 2nd Street & 3rd Ave S","Grant Street & Portland Ave",29
"3608","South 2nd Street & 3rd Ave S","Marshall Street NE & 18th Ave NE",29
"3609","Target Field Station","Loring Park",29
"3610","Target Field Station","Mill City Quarter",29
"3611","Target Field Station","Minneapolis Park & Recreation Board",29
"3612","University & Bank Street SE","Central Ave NE & 22nd Ave NE",29
"3613","University & Bank Street SE","West 15th Street & Willow",29
"3614","University Ave NE & 12th Ave NE","2nd Ave N & N 6th Street",29
"3615","University Ave SE & Bedford Street SE","University Ave SE & Bedford Street SE",29
"3616","W 50th Street & W Minnehaha Pkwy","Upton Ave S & Sheridan Ave S",29
"3617","Washington & Cedar","Currie Park",29
"3618","Washington & Cedar","Midtown Exchange",29
"3619","Washington & Cedar","S 8th Street & 2nd Ave S",29
"3620","Washington Ave S & 10th Ave S","West 15th Street & Willow",29
"3621","Weisman Art Museum","Bohemian Flats",29
"3622","Weisman Art Museum","Civil Engineering",29
"3623","Wells Fargo Place","7th Street W & Grand Ave",29
"3624","Wells Fargo Place","Union Depot",29
"3625","West 15th Street & Willow","W 36th Street & W Calhoun Parkway",29
"3626","YWCA Downtown","Portland Ave & Washington Ave",29
"3627","11th Ave S & S 2nd Street","9th Street N & Hawthorne Ave",28
"3628","11th Ave S & S 2nd Street","Franklin & 11th Ave",28
"3629","11th Street & Hennepin","N 4th Ave & W River Parkway",28
"3630","22nd Ave S & Franklin Ave","IDS Center",28
"3631","23rd Ave SE & University Ave SE","Carleton Street & University Ave ",28
"3632","25th Street & 33rd Ave S","E 38th Street & 42nd Ave S",28
"3633","26th Street & Hennepin","Groveland Ave & Clifton Place",28
"3634","2nd Ave N & N 6th Street","11th Street & Hennepin",28
"3635","2nd Ave N & Washington Ave N","Lake Street & Knox Ave S",28
"3636","2nd Ave N & Washington Ave N","N 4th Ave & W River Parkway",28
"3637","2nd Ave S & S 3rd Street","Hennepin & Laurel Ave",28
"3638","2nd Ave S & S 3rd Street","YWCA Downtown",28
"3639","2nd Street SE & 5th Ave SE","Hennepin Ave & S Washington Ave",28
"3640","4th Street & 13th Ave SE","Malcolm Ave SE & 5th Street SE",28
"3641","4th Street S & 19th Ave","Lyndale Ave S & W 29th Street",28
"3642","6th Ave SE & University Ave","2nd Street SE & 5th Ave SE",28
"3643","6th Ave SE & University Ave","9th Street & 4th Ave",28
"3644","6th Ave SE & University Ave","Central Ave NE & 22nd Ave NE",28
"3645","7th Place & Jackson Street","Schmidt Brewery",28
"3646","7th Street & 4th Ave S","Chicago Ave & S Washington Ave",28
"3647","7th Street & 4th Ave S","Hennepin County Government Center",28
"3648","7th Street & 4th Ave S","Lake Street & Knox Ave S",28
"3649","9th Street & 4th Ave","Nicollet Mall & Grant Street",28
"3650","9th Street & 4th Ave","Walker Art Center",28
"3651","9th Street N & Hawthorne Ave","South 2nd Street & 3rd Ave S",28
"3652","Boom Island Park","Broadway & Marshall Street NE",28
"3653","Broadway & Marshall Street NE","11th Street & Hennepin",28
"3654","Broadway & Marshall Street NE","Hennepin Ave & S Washington Ave",28
"3655","Broadway Street N & 4th Street E","Shepard Road & Sibley Street",28
"3656","Central Ave NE & 22nd Ave NE","Hennepin & Central Avenue NE",28
"3657","Chicago & 27th Street","11th Street & Hennepin",28
"3658","Chicago & 27th Street","6th Ave SE & University Ave",28
"3659","Cleveland Ave S & Highland Parkway","Lake Street & West River Parkway",28
"3660","Delaware Street SE & 26th Ave SE","6th Ave SE & University Ave",28
"3661","Delaware Street SE & 26th Ave SE","Franklin & 28th Ave",28
"3662","Dupont Ave & 22nd Street","IDS Center",28
