"","Start.station","End.station","count"
"272","Gateway Park","Chicago Ave & S Washington Ave",219
"273","Hennepin County Government Center","6th Ave SE & University Ave",219
"274","11th Street & Hennepin","Loring Park",218
"275","15th Ave SE & 4th Street SE","Oak Street Ramp",218
"276","Gateway Park","11th Ave S & S 2nd Street",218
"277","Coffman Union","6th Ave SE & University Ave",216
"278","100 Main Street SE","Portland Ave & Washington Ave",215
"279","23rd Ave SE & University Ave SE","27th Ave SE & University Ave",215
"280","6th Ave SE & University Ave","S 5th Street & Nicollet Mall",215
"281","Washington Ave SE & Union Street SE","15th Ave SE & Como Ave SE",215
"282","Coldwater Spring","Minnehaha Park",214
"283","West 15th Street & Willow","IDS Center",214
"284","Hennepin County Government Center","North 2nd Street & 4th Ave N",213
"285","Park Ave & 4th Street S","Hennepin County Government Center",213
"286","Coldwater Spring","Hiawatha Ave & E 50th Street",212
"287","Cooke Hall","Sanford Hall",211
"288","Loring Park","11th Street & Hennepin",211
"289","6th Ave SE & University Ave","Mayo Memorial Building",210
"290","Lake Street & Knox Ave S","Midtown Greenway & 5th Ave S",210
"291","Social Sciences","27th Ave SE & University Ave",210
"292","Nicollet Mall & Grant Street","Nicollet Mall & Grant Street",209
"293","Williamson Hall","6th Ave SE & University Ave",209
"294","23rd Ave SE & 6th Street SE","Washington Ave SE & Union Street SE",208
"295","Minnehaha Park","Coldwater Spring",208
"296","Washington & Cedar","4th Street & 13th Ave SE",208
"297","Washington & Cedar","S 5th Street & Nicollet Mall",208
"298","11th Ave S & S 2nd Street","Hennepin County Government Center",207
"299","23rd Ave SE & 6th Street SE","Mayo Memorial Building",207
"300","Hennepin County Government Center","South 2nd Street & 3rd Ave S",207
"301","North 2nd Street & 4th Ave N","2nd Ave S & S 3rd Street",207
"302","YWCA Downtown","Nicollet & Franklin",207
"303","W 36th Street & W Calhoun Parkway","Lake Harriet Bandshell",206
"304","Hennepin Ave & S Washington Ave","Hennepin Ave & S Washington Ave",205
"305","Oak Street Ramp","Oak Street Ramp",205
"306","Hennepin County Government Center","Franklin & Portland",204
"307","Logan Park","Logan Park",204
"308","North 2nd Street & 4th Ave N","S 8th Street & 2nd Ave S",204
"309","6th Ave SE & University Ave","4th Street S & 19th Ave",203
"310","Hennepin & Laurel Ave","IDS Center",203
"311","Oak Street Ramp","Social Sciences",203
"312","Washington Ave SE & Union Street SE","McNamara Center",203
"313","Willey Hall","4th Street & 13th Ave SE",203
"314","Willey Hall","4th Street & 17th Ave SE",203
"315","15th Ave SE & 4th Street SE","Delaware Street SE & 26th Ave SE",202
"316","Fort Snelling Visitor Center","Fort Snelling Visitor Center",202
"317","Lake Calhoun Center","Lake Street & Humboldt",202
"318","Oak Street Ramp","15th Ave SE & 4th Street SE",202
"319","22nd Ave S & Franklin Ave","22nd Ave S & Franklin Ave",201
"320","4th Street & 17th Ave SE","Williamson Hall",201
"321","6th Ave SE & University Ave","Park Ave & 4th Street S",201
"322","6th Ave SE & University Ave","Portland Ave & Washington Ave",200
"323","Delaware Street SE & 26th Ave SE","Delaware Street SE & 26th Ave SE",200
"324","Lake Street & Humboldt","Lake Street & Knox Ave S",200
"325","Mill City Quarter","7th Street & 4th Ave S",200
"326","Williamson Hall","Como Ave SE & 29th Ave SE",200
"327","Groveland Ave & Clifton Place","Dupont Ave & 22nd Street",199
"328","Williamson Hall","Social Sciences",199
"329","4th Street & 17th Ave SE","Washington Ave SE & Union Street SE",198
"330","6th Ave SE & University Ave","University & Bank Street SE",198
"331","15th Ave SE & Como Ave SE","Coffman Union",197
"332","Dupont Ave & 22nd Street","Groveland Ave & Clifton Place",197
"333","Lyndale Ave S & 22nd Street ","Lyndale Ave S & 22nd Street ",197
"334","Williamson Hall","4th Street & 17th Ave SE",197
"335","Williamson Hall","Weisman Art Museum",197
"336","Hennepin County Government Center","YWCA Downtown",196
"337","Lake Street & Knox Ave S","Walker Art Center",196
"338","W 50th Street & W Minnehaha Pkwy","Lake Harriet Bandshell",196
"339","West 15th Street & Willow","9th Street & 4th Ave",196
"340","YWCA Downtown","7th Street & 4th Ave S",196
"341","6th Ave SE & University Ave","Coffman Union",195
"342","Lake Street & Knox Ave S","Lake Street & Humboldt",195
"343","Wabasha Street S & E Fillmore Ave","Wabasha Street S & E Fillmore Ave",195
"344","9th Street & 4th Ave","Nicollet & Franklin",194
"345","Hennepin County Government Center","Nicollet Mall & Grant Street",193
"346","Mill City Quarter","11th Ave S & S 2nd Street",193
"347","University & Bank Street SE","2nd Street SE & 5th Ave SE",193
"348","North 2nd Street & 4th Ave N","100 Main Street SE",192
"349","Washington Ave SE & Union Street SE","Washington & Cedar",192
"350","Coffman Union","Sanford Hall",191
"351","Delaware Street SE & 26th Ave SE","Social Sciences",191
"352","Coffman Union","11th Ave S & S 2nd Street",190
"353","100 Main Street SE","North 2nd Street & 4th Ave N",189
"354","4th Street S & 19th Ave","4th Street S & 19th Ave",189
"355","Lake Nokomis","Lake Harriet Bandshell",188
"356","Nicollet & Franklin","YWCA Downtown",188
"357","Willey Hall","Social Sciences",188
