"","Stationnumber","date","weekday","RidesOut","RidesIn","Rideoutminusin","Name","Latitude","Longitude","Total.docks"
"213","30106",2017-11-04,"Sat",1,1,0,"Dale Street & Grand Ave.",44.939779,-93.126261,15
"214","30073",2017-11-04,"Sat",1,1,0,"West 34th Street  & Hennepin Ave S",44.941388,-93.298634,19
"215","30013",2017-11-04,"Sat",2,2,0,"Lyndale Ave S & W 29th Street",44.94948465,-93.28822732,19
"216","30111",2017-11-04,"Sat",1,0,1,"Hamline Ave N & University Ave",44.9559764,-93.15670252,15
"217","30109",2017-11-04,"Sat",1,3,-2,"Como Ave SE & 29th Ave SE",44.987934,-93.212892,19
"218","30076",2017-11-04,"Sat",1,1,0,"Carleton Street & University Ave ",44.963549,-93.195906,15
"219","30071",2017-11-04,"Sat",1,0,1,"7th Street N & Plymouth Ave N",44.991704,-93.293988,15
"220","30194",2017-11-03,"Fri",7,9,-2,"23rd Ave SE & University Ave SE",44.974397,-93.223002,23
"221","30007",2017-11-03,"Fri",3,6,-3,"9th Street & 4th Ave",44.97265,-93.26872,19
"222","30142",2017-11-03,"Fri",2,2,0,"9th Street N & Hawthorne Ave",44.97731428,-93.27776134,27
"223","30024",2017-11-03,"Fri",19,22,-3,"Coffman Union",44.973378,-93.234762,35
"224","30115",2017-11-03,"Fri",21,28,-7,"Washington Ave SE & Union Street SE",44.97394,-93.2321,31
"225","30141",2017-11-03,"Fri",2,0,2,"N Robert Street & E 10th Street",44.951132,-93.094545,19
"226","30093",2017-11-03,"Fri",7,6,1,"West 15th Street & Willow",44.968237,-93.281991,23
"227","30184",2017-11-03,"Fri",5,6,-1,"Hennepin Ave & S Washington Ave",44.981895,-93.269195,23
"228","30063",2017-11-03,"Fri",5,4,1,"Elliot Park",44.970553,-93.26079,15
"229","30183",2017-11-03,"Fri",17,24,-7,"Weisman Art Museum",44.973607,-93.237254,19
"230","30011",2017-11-03,"Fri",7,4,3,"North 2nd Street & 4th Ave N",44.986087,-93.272459,19
"231","30019",2017-11-03,"Fri",11,14,-3,"Social Sciences",44.97063898,-93.24355245,27
"232","30015",2017-11-03,"Fri",3,2,1,"Washington & Cedar",44.97344,-93.24748,20
"233","30197",2017-11-03,"Fri",14,9,5,"15th Ave SE & 4th Street SE",44.979878,-93.234739,23
"234","30103",2017-11-03,"Fri",3,2,1,"Hague Ave & Dale Street",44.945736,-93.12661,15
"235","30171",2017-11-03,"Fri",4,2,2,"SE 3rd Ave & University Ave SE",44.985465,-93.252102,15
"236","30193",2017-11-03,"Fri",6,5,1,"Mariucci Arena",44.977899,-93.226629,25
"237","30143",2017-11-03,"Fri",5,5,0,"Chicago Ave & S Washington Ave",44.977521,-93.256736,19
"238","30110",2017-11-03,"Fri",6,3,3,"15th Ave SE & Como Ave SE",44.987517,-93.230469,19
"239","30009",2017-11-03,"Fri",14,12,2,"4th Street & 13th Ave SE",44.98102,-93.23746,27
"240","30182",2017-11-03,"Fri",8,3,5,"Sanford Hall",44.980831,-93.240282,23
"241","30026",2017-11-03,"Fri",7,6,1,"Mayo Memorial Building",44.97209,-93.23206,25
"242","30008",2017-11-03,"Fri",2,2,0,"Midtown Exchange",44.94859,-93.2602,19
"243","30144",2017-11-03,"Fri",4,1,3,"N 4th Ave & W River Parkway",44.988461,-93.269087,15
"244","30087",2017-11-03,"Fri",4,1,3,"Grant Street & Portland Ave",44.96954,-93.2669,15
"245","30006",2017-11-03,"Fri",7,6,1,"YWCA Downtown",44.972217,-93.276435,23
"246","30004",2017-11-03,"Fri",7,5,2,"11th Street & Hennepin",44.97534,-93.27869,23
"247","30132",2017-11-03,"Fri",3,1,2,"Kellogg Blvd & Wabasha Street",44.943846,-93.09227,15
"248","30023",2017-11-03,"Fri",2,2,0,"Chicago & 27th Street",44.95355,-93.26259,15
"249","30034",2017-11-03,"Fri",13,11,2,"Oak Street Ramp",44.97202,-93.22697,23
"250","30189",2017-11-03,"Fri",6,1,5,"Delaware Street SE & 26th Ave SE",44.972128,-93.221021,19
"251","30042",2017-11-03,"Fri",9,14,-5,"IDS Center",44.975641,-93.272185,23
"252","30057",2017-11-03,"Fri",15,17,-2,"McNamara Center",44.9743,-93.22854,19
"253","30196",2017-11-03,"Fri",8,2,6,"Civil Engineering",44.976096,-93.231958,23
"254","30202",2017-11-03,"Fri",6,5,1,"Mill City Quarter",44.9805,-93.2618,23
"255","30187",2017-11-03,"Fri",4,5,-1,"Groveland Ave & Clifton Place",44.966145,-93.286294,19
"256","30050",2017-11-03,"Fri",6,5,1,"2nd Ave S & S 3rd Street",44.97974,-93.26599,27
"257","30047",2017-11-03,"Fri",2,4,-2,"University & Bank Street SE",44.98717,-93.25576,19
"258","30048",2017-11-03,"Fri",7,6,1,"Dupont Ave & 22nd Street",44.96146,-93.29303,15
"259","30186",2017-11-03,"Fri",8,10,-2,"S 5th Street & Nicollet Mall",44.97866518,-93.27050328,19
"260","30191",2017-11-03,"Fri",3,2,1,"University Ave SE & Bedford Street SE",44.96876,-93.21003,15
"261","30010",2017-11-03,"Fri",4,2,2,"Hennepin & Laurel Ave",44.97391,-93.28305,15
"262","30080",2017-11-03,"Fri",2,0,2,"Midtown YWCA",44.94823,-93.24054,15
"263","30098",2017-11-03,"Fri",1,1,0,"Marshall Street NE & 8th Ave NE",44.995348,-93.266854,15
"264","30195",2017-11-03,"Fri",18,21,-3,"Willey Hall",44.972404,-93.242891,23
"265","30176",2017-11-03,"Fri",6,2,4,"Washington Ave N & Cedar Lake Trail",44.985406,-93.274031,19
"266","NRHQ",2017-11-03,"Fri",2,1,1,"Nice Ride World Headquarters",44.953566,-93.220066,7
"267","30040",2017-11-03,"Fri",1,1,0,"11th Street & Marquette",44.97265,-93.27405,19
